NULL,Riajul,Islam,admin,riajul@perkyrabbit.com,admin,NULL
NULL,Mohammad,Anwar,principal,principal@test.com,1234,NULL
NULL,Ahmed,Ali,viceprincipal,viceprincipal@test.com,1234,NULL
NULL,Khadem,Hossain,lecturer1S,lecturer1S@test.com,1234,NULL
NULL,Sohail,Rasul,lecturer2S,lecturer2S@test.com,1234,NULL
NULL,Muhammad,Akhter,lecturer3S,lecturer3S@test.com,1234,NULL
NULL,Rasheed,Ahmed,asslecturer1S,asslecturer1S@test.com,1234,NULL
NULL,Mazoor,Hussain,asslecturer2S,asslecturer2S@test.com,1234,NULL
NULL,Inayat,Ullah,lecturer1A,lecturer1A@test.com,1234,NULL
NULL,Nisar,Malik,lecturer2A,lecturer2A@test.com,1234,NULL
NULL,Shoukat,Ali,asslecturer1A,asslecturer1A@test.com,1234,NULL
NULL,Ashraf,Khan,asslecturer2A,asslecturer2A@test.com,1234,NULL
NULL,Ghulam,Murtaza,lecturer1C,lecturer1C@test.com,1234,NULL
NULL,Yusuf,Iqbal,lecturer2C,lecturer2C@test.com,1234,NULL
NULL,Ehsan,Ullah,asslecturer1C,asslecturer1C@test.com,1234,NULL
NULL,Ejaz,Feroz,asslecturer2C,asslecturer2C@test.com,1234,NULL
NULL,Madeline,Keefe,student1S,student1S@test.com,1234,NULL
NULL,Lindsey,Lethbridge,student2S,student2S@test.com,1234,NULL
NULL,Lindsay,Bennett,student3S,student3S@test.com,1234,NULL
NULL,Dean,Coombs,student4S,student4S@test.com,1234,NULL
NULL,Debora,Pitcher,student5S,student5S@test.com,1234,NULL
NULL,Dion,Rideout,student6S,student6S@test.com,1234,NULL
NULL,Jacob,Larkin,student7S,student7S@test.com,1234,NULL
NULL,Shane,Morgan,student8S,student8S@test.com,1234,NULL
NULL,Carmen,Sheppard,student9S,student9S@test.com,1234,NULL
NULL,Gervas,House,student10S,student10S@test.com,1234,NULL
NULL,Pamela,Campbell,student1A,student1A@test.com,1234,NULL
NULL,Verna,Brown,student2A,student2A@test.com,1234,NULL
NULL,Megan,Poole,student3A,student3A@test.com,1234,NULL
NULL,Thompson,Flynn,student4A,student4A@test.com,1234,NULL
NULL,Susan,Poole,student5A,student5A@test.com,1234,NULL
NULL,Darryn,Cramm,student6A,student6A@test.com,1234,NULL
NULL,Paula,Kelly,student7A,student7A@test.com,1234,NULL
NULL,Colleen,O'Brien,student8A,student8A@test.com,1234,NULL
NULL,Lori,Morris,student9A,student9A@test.com,1234,NULL
NULL,Marsha,Genge,student10A,student10A@test.com,1234,NULL
NULL,Raymond,Byrne,student1C,student1C@test.com,1234,NULL
NULL,Carol Ann,Eldridge,student2C,student2C@test.com,1234,NULL
NULL,Danielle,Power,student3C,student3C@test.com,1234,NULL
NULL,Cathy,House,student4C,student4C@test.com,1234,NULL
NULL,Donna,Alexander,student5C,student5C@test.com,1234,NULL
NULL,Glenn,MacArthur,student6C,student6C@test.com,1234,NULL
NULL,Robert,Major,student7C,student7C@test.com,1234,NULL
NULL,Lisa,Shears-Smith,student8C,student8C@test.com,1234,NULL
NULL,Bobbi Ann,Heath,student9C,student9C@test.com,1234,NULL
NULL,Jillian,Cross,student10C,student10C@test.com,1234,NULL
